Country_Name,Country_Code,Year,Indicator_Name,Indicator_Code,Value
Cote d'Ivoire,CIV,2016,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,14.3
Cote d'Ivoire,CIV,2016,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,24.4
Cote d'Ivoire,CIV,2009,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,61.9
Cote d'Ivoire,CIV,2019,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,76.41313934
Cote d'Ivoire,CIV,2014,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,47.03974915
Cote d'Ivoire,CIV,2012,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,38.75008011
Cote d'Ivoire,CIV,2006,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,38.56999969
Cote d'Ivoire,CIV,2000,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,52.12517166
Cote d'Ivoire,CIV,1998,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,39.84909058
Cote d'Ivoire,CIV,1988,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,37.84593964
Cote d'Ivoire,CIV,2019,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.823239982
Cote d'Ivoire,CIV,2014,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.795610011
Cote d'Ivoire,CIV,2012,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.664300025
Cote d'Ivoire,CIV,2000,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.735809982
Cote d'Ivoire,CIV,1998,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.73247999
